Accession	Gene	protein_logFC	protein_padj	gene_logFC	gene_padj	Groups
Q14508	WFDC2	-1.2549	1e-4	-0.6232	0	Down/Down
Q96S99	PLEKHF1	-1.8009	1e-4	-0.8577	0	Down/Down
Q8IXI1	RHOT2	0.6296	1e-4	1.0602	0	Up/Up
Q96FJ2	DYNLL2	0.4913	1e-4	0.8325	0	Up/Up
Q9HCD5	NCOA5	-0.5574	1e-4	0.3806	3e-4	Up transcriptome/Down proteome
Q13885	TUBB2A	-1.1327	1e-4	0.4363	0.0061	Up transcriptome/Down proteome
Q99715	COL12A1	-0.5864	1e-4	-0.4806	1e-4	Down/Down
O60566	BUB1B	-0.6644	1e-4	-0.5363	0	Down/Down
P22570	FDXR	0.6181	1e-4	-0.3616	0.004	Down transcriptome/Up proteome
Q9Y2K6	USP20	-1.258	1e-4	-0.3882	0.0296	Down/Down
Q16740	CLPP	1.1412	1e-4	0.321	0.0011	Up/Up
Q96G21	IMP4	-1.1629	1e-4	0.4727	1e-4	Up transcriptome/Down proteome
P16615	ATP2A2	-0.4399	1e-4	-0.2722	0	Down/Down
O95372	LYPLA2	0.5302	1e-4	0.5813	0	Up/Up
Q13630	GFUS	0.4206	1e-4	0.8464	0	Up/Up
Q8WZA0	LZIC	-0.5586	1e-4	-0.4915	0	Down/Down
P06748	NPM1	-0.5548	1e-4	-0.4336	0	Down/Down
Q14914	PTGR1	-0.4876	1e-4	-1.7344	0	Down/Down
Q13868	EXOSC2	-0.7926	1e-4	0.3382	0.0027	Up transcriptome/Down proteome
Q15063	POSTN	0.8587	1e-4	-4.8216	0.0024	Down transcriptome/Up proteome
P16066	NPR1	-1.7126	1e-4	-2.2779	0	Down/Down
Q9UII4	HERC5	-1.6151	1e-4	-0.5087	0.0047	Down/Down
Q9UBM7	DHCR7	-0.9017	1e-4	-0.783	0	Down/Down
O43760	SYNGR2	0.3319	1e-4	0.3424	0	Up/Up
Q14141	SEPTIN6	-1.6358	1e-4	-0.6176	0	Down/Down
P09972	ALDOC	1.3285	1e-4	1.0124	0	Up/Up
Q9Y5Q0	FADS3	1.6276	1e-4	0.7234	0	Up/Up
Q9Y6M1	IGF2BP2	0.4247	1e-4	0.6262	0	Up/Up
P04035	HMGCR	-2.6872	1e-4	-1.4451	0	Down/Down
Q15185	PTGES3	-0.7442	1e-4	-0.1492	0.0342	Down/Down
Q8TBA6	GOLGA5	0.6334	1e-4	-0.5627	0	Down transcriptome/Up proteome
P39656	DDOST	-0.4947	1e-4	-0.4858	0	Down/Down
O43399	TPD52L2	0.588	1e-4	0.8532	0	Up/Up
O95067	CCNB2	-0.8437	1e-4	-1.096	0	Down/Down
P15104	GLUL	0.6427	1e-4	0.6304	0	Up/Up
A3KMH1	VWA8	-1.7325	1e-4	-0.9916	0	Down/Down
Q08722	CD47	-0.6326	1e-4	-1.3049	0	Down/Down
P29323	EPHB2	1.2256	1e-4	1.2789	0	Up/Up
Q9H4A6	GOLPH3	-0.7936	1e-4	-0.2105	0.0195	Down/Down
P61586	RHOA	0.4617	1e-4	0.1414	0.0477	Up/Up
Q9BUL5	PHF23	0.6023	1e-4	0.3984	0	Up/Up
Q71F56	MED13L	-1.317	1e-4	-1.6761	0.0291	Down/Down
P52294	KPNA1	0.4993	1e-4	1.1205	0	Up/Up
Q14203	DCTN1	-0.3974	1e-4	0.5106	0	Up transcriptome/Down proteome
Q06190	PPP2R3A	-0.5303	1e-4	-0.7157	0	Down/Down
P52907	CAPZA1	0.419	1e-4	0.3093	0	Up/Up
P24311	COX7B	-0.8893	1e-4	-1.3508	0	Down/Down
Q9H814	PHAX	-0.8102	1e-4	-0.288	0.0076	Down/Down
Q09666	AHNAK	0.4607	1e-4	1.1221	0	Up/Up
P46940	IQGAP1	0.3327	1e-4	1.1366	0	Up/Up
Q9H0U4	RAB1B	0.4089	1e-4	0.5127	0	Up/Up
P61163	ACTR1A	-0.4486	1e-4	0.2182	4e-4	Up transcriptome/Down proteome
Q8NEU8	APPL2	-1.0081	1e-4	-1.3197	0	Down/Down
P61254	RPL26	-0.2914	1e-4	0.3876	0.032	Up transcriptome/Down proteome
O43149	ZZEF1	1.0133	1e-4	0.5803	0	Up/Up
Q9NPR2	SEMA4B	1.1491	1e-4	0.4568	0	Up/Up
Q92688	ANP32B	-0.3876	1e-4	-0.5702	0	Down/Down
Q15050	RRS1	-0.5491	1e-4	0.8185	0	Up transcriptome/Down proteome
Q12846	STX4	0.7042	1e-4	0.5804	3e-4	Up/Up
Q9HAU4	SMURF2	-0.7631	1e-4	1.7871	0	Up transcriptome/Down proteome
Q96JA1	LRIG1	-2.9086	1e-4	-0.5205	3e-4	Down/Down
Q96G03	PGM2	0.4024	1e-4	0.4765	0.0054	Up/Up
P04183	TK1	-0.4549	1e-4	0.3865	0	Up transcriptome/Down proteome
P30046	DDT	0.6578	1e-4	0.604	0	Up/Up
Q5K4L6	SLC27A3	-1.2389	1e-4	-0.7485	3e-4	Down/Down
Q8N5I9	NOPCHAP1	-0.7606	1e-4	-0.9074	0	Down/Down
P04181	OAT	0.5961	1e-4	-0.1912	0.0138	Down transcriptome/Up proteome
O15144	ARPC2	0.3016	1e-4	0.4218	0	Up/Up
Q9UIJ7	AK3	0.4344	1e-4	-0.4309	0	Down transcriptome/Up proteome
Q15003	NCAPH	-0.4032	1e-4	0.1958	0.0272	Up transcriptome/Down proteome
Q96IZ0	PAWR	-0.6198	1e-4	-0.6338	0	Down/Down
O75534	CSDE1	-0.3168	1e-4	0.173	0.0032	Up transcriptome/Down proteome
Q9NZM5	NOP53	-0.7751	1e-4	-0.4271	0	Down/Down
Q9Y2X7	GIT1	-1.1699	1e-4	0.4258	4e-4	Up transcriptome/Down proteome
Q9C040	TRIM2	-0.8412	1e-4	-0.7953	0	Down/Down
P02545	LMNA	-0.6626	1e-4	0.7265	0	Up transcriptome/Down proteome
O00541	PES1	-0.3318	1e-4	0.9814	0	Up transcriptome/Down proteome
Q76FK4	NOL8	-1.2192	1e-4	-0.7092	1e-4	Down/Down
P12268	IMPDH2	0.3626	1e-4	0.3115	4e-4	Up/Up
P28799	GRN	0.4403	1e-4	0.4812	0	Up/Up
Q86YS6	RAB43	0.4089	1e-4	1.1819	0	Up/Up
Q9BS40	LXN	0.7029	1e-4	-0.5567	0	Down transcriptome/Up proteome
P09936	UCHL1	-0.433	1e-4	-0.2388	0.0019	Down/Down
P98160	HSPG2	0.9695	1e-4	-0.4838	0	Down transcriptome/Up proteome
Q9P0M9	MRPL27	0.726	1e-4	0.2848	0.01	Up/Up
Q9NQW6	ANLN	-0.7569	1e-4	0.5846	0	Up transcriptome/Down proteome
P25445	FAS	1.1068	1e-4	0.8903	0	Up/Up
Q9Y303	AMDHD2	1.0413	1e-4	0.6016	0.0028	Up/Up
Q9Y608	LRRFIP2	0.5711	1e-4	1.0844	0	Up/Up
P85037	FOXK1	-0.7563	1e-4	1.0711	0	Up transcriptome/Down proteome
Q9UNW9	NOVA2	3.0111	1e-4	0.7321	0.0018	Up/Up
Q9H4W6	EBF3	-2.0855	1e-4	-1.6046	0	Down/Down
Q0VF96	CGNL1	2.1199	1e-4	0.6438	0	Up/Up
P13073	COX4I1	-0.4611	1e-4	-0.2466	0.0182	Down/Down
Q9C035	TRIM5	-0.7416	1e-4	-0.9578	0	Down/Down
Q6UXN9	WDR82	-0.5143	1e-4	-0.2222	0.0014	Down/Down
Q9Y2T7	YBX2	1.2041	1e-4	0.4243	0	Up/Up
Q86TX2	ACOT1	0.6272	1e-4	-0.8385	0.0015	Down transcriptome/Up proteome
P84095	RHOG	0.4764	1e-4	1.0002	0	Up/Up
O75815	BCAR3	0.7022	1e-4	1.9585	0	Up/Up
Q13330	MTA1	-0.4259	1e-4	0.4577	0	Up transcriptome/Down proteome
O14497	ARID1A	-0.6933	1e-4	0.4876	2e-4	Up transcriptome/Down proteome
P09874	PARP1	-0.3812	1e-4	0.1455	0.0381	Up transcriptome/Down proteome
Q9NP74	PALMD	-3.2746	2e-4	-1.3434	0	Down/Down
Q15642	TRIP10	0.4133	2e-4	0.6203	0	Up/Up
Q9UJW0	DCTN4	-0.4912	2e-4	-0.7193	0	Down/Down
Q5T9L3	WLS	-1.3699	2e-4	-1.5485	0	Down/Down
Q96CS3	FAF2	-0.4696	2e-4	-0.2314	0.0031	Down/Down
P46976	GYG1	0.5344	2e-4	0.8838	0	Up/Up
O75874	IDH1	-0.4882	2e-4	-3.011	0	Down/Down
Q9H967	WDR76	-0.6317	2e-4	1.2093	0	Up transcriptome/Down proteome
Q9BT25	HAUS8	-1.4559	2e-4	0.49370000000000003	4e-4	Up transcriptome/Down proteome
P14678	SNRPB	-0.4963	2e-4	0.352	0.0021	Up transcriptome/Down proteome
P20810	CAST	-0.4509	2e-4	0.662	0	Up transcriptome/Down proteome
Q7Z569	BRAP	-1.523	2e-4	-0.3611	5e-4	Down/Down
P36915	GNL1	0.388	2e-4	0.3292	5e-4	Up/Up
Q9UJZ1	STOML2	0.5977	2e-4	0.5866	0	Up/Up
O94925	GLS	0.6114	2e-4	1.086	0	Up/Up
Q9NUQ9	CYRIB	0.4496	2e-4	0.2899	3e-4	Up/Up
O95757	HSPA4L	0.5814	2e-4	0.5978	0	Up/Up
Q8TED1	GPX8	-0.4959	2e-4	-1.172	0	Down/Down
O43464	HTRA2	0.7222	2e-4	0.4992	0	Up/Up
P07910	HNRNPC	-0.7441	2e-4	-0.1724	0.0457	Down/Down
P49773	HINT1	-0.5702	2e-4	-0.8574	0	Down/Down
Q14134	TRIM29	0.4518	2e-4	0.795	0	Up/Up
O95352	ATG7	0.5797	2e-4	0.5552	1e-4	Up/Up
Q96E11	MRRF	-0.5675	2e-4	-0.4443	0	Down/Down
Q9UG63	ABCF2	-0.3284	2e-4	0.5149	0	Up transcriptome/Down proteome
Q6P2Q9	PRPF8	-1.1796	2e-4	-0.2871	0	Down/Down
Q6YP21	KYAT3	0.4765	2e-4	-0.4341	4e-4	Down transcriptome/Up proteome
O00629	KPNA4	0.46	2e-4	0.5388	6e-4	Up/Up
Q9BVI4	NOC4L	-1.2171	2e-4	0.2485	0.0069	Up transcriptome/Down proteome
Q00325	SLC25A3	-0.2812	2e-4	-0.358	0	Down/Down
P17931	LGALS3	0.455	2e-4	0.9251	0	Up/Up
Q96HS1	PGAM5	-0.6024	2e-4	0.3309	3e-4	Up transcriptome/Down proteome
Q8IWU5	SULF2	-2.994	2e-4	-1.7203	0	Down/Down
Q8TDB6	DTX3L	0.3829	2e-4	0.6632	0	Up/Up
Q5HYK3	COQ5	-0.9119	2e-4	-0.6467	0	Down/Down
P35219	CA8	-0.4537	2e-4	0.8395	0	Up transcriptome/Down proteome
Q96RN5	MED15	0.6306	2e-4	0.8978	0	Up/Up
Q9Y3S1	WNK2	-2.6372	2e-4	-1.3907	0	Down/Down
O00159	MYO1C	0.4205	2e-4	0.352	0.0117	Up/Up
O43707	ACTN4	-0.5023	2e-4	0.6402	0	Up transcriptome/Down proteome
O00203	AP3B1	-0.4214	2e-4	-0.9034	0	Down/Down
Q13561	DCTN2	-0.4646	2e-4	-1.0084	0	Down/Down
O14773	TPP1	0.4948	2e-4	0.2968	0.0019	Up/Up
Q969X5	ERGIC1	-0.3922	2e-4	-0.3975	0	Down/Down
Q2TB90	HKDC1	-1.133	2e-4	-0.4651	0.0109	Down/Down
Q9Y295	DRG1	-0.4861	2e-4	0.2406	0.0057	Up transcriptome/Down proteome
P26038	MSN	-0.388	2e-4	-0.3965	0	Down/Down
Q4L180	FILIP1L	-1.0341	2e-4	1.7481	0	Up transcriptome/Down proteome
P22307	SCP2	0.3916	2e-4	-0.3212	5e-4	Down transcriptome/Up proteome
Q9P273	TENM3	-0.4223	2e-4	-0.9748	0	Down/Down
Q6P996	PDXDC1	-0.5341	2e-4	-0.2389	0.0219	Down/Down
P25440	BRD2	-1.095	2e-4	0.3587	7e-4	Up transcriptome/Down proteome
Q9ULV0	MYO5B	-0.8168	2e-4	1.141	0	Up transcriptome/Down proteome
O95825	CRYZL1	0.6093	2e-4	-0.597	0	Down transcriptome/Up proteome
P38159	RBMX	-0.5078	2e-4	-0.5204	6e-4	Down/Down
Q9Y2P8	RCL1	-0.8958	2e-4	0.5377	0	Up transcriptome/Down proteome
Q5BJH7	YIF1B	-0.6194	2e-4	-0.5173	0	Down/Down
Q8NBM8	PCYOX1L	-0.855	2e-4	-0.928	0	Down/Down
Q9GZP8	IMUP	1.7809	2e-4	0.7415	0	Up/Up
Q96I99	SUCLG2	0.4086	2e-4	-0.2714	0.0153	Down transcriptome/Up proteome
Q92888	ARHGEF1	0.4841	2e-4	0.7618	0	Up/Up
Q9UHG0	DCDC2	-2.2315	2e-4	-0.7141	0	Down/Down
P61158	ACTR3	0.3039	2e-4	-0.8109	0	Down transcriptome/Up proteome
Q9UJX6	ANAPC2	-0.6075	2e-4	-0.4863	0	Down/Down
P31153	MAT2A	-0.4403	2e-4	0.1913	0.0285	Up transcriptome/Down proteome
Q9NUQ6	SPATS2L	0.4763	2e-4	1.0087	0	Up/Up
P78316	NOP14	-1.2806	2e-4	0.8316	0	Up transcriptome/Down proteome
Q8NBT2	SPC24	-0.5632	2e-4	0.9418	0	Up transcriptome/Down proteome
Q14CX7	NAA25	-0.3556	2e-4	-0.5179	0.0183	Down/Down
Q9UGR2	ZC3H7B	-1.0465	2e-4	0.5781	0	Up transcriptome/Down proteome
O95983	MBD3	-1.1593	2e-4	0.4141	8e-4	Up transcriptome/Down proteome
Q14165	MLEC	-0.4461	2e-4	-0.5573	0	Down/Down
Q9BW92	TARS2	-0.6666	2e-4	-0.8099	0	Down/Down
D6RIA3	C4orf54	-0.7008	2e-4	-4.2282	0	Down/Down
Q96S19	METTL26	1.7412	2e-4	0.7002	0	Up/Up
Q07960	ARHGAP1	0.504	2e-4	0.7763	0	Up/Up
Q96D46	NMD3	0.3749	2e-4	0.4207	0	Up/Up
Q9Y2C9	TLR6	1.4163	2e-4	1.1103	1e-4	Up/Up
Q9NY33	DPP3	-0.3677	2e-4	-0.4812	0	Down/Down
Q5RI15	COX20	-0.6355	2e-4	-0.6213	0	Down/Down
O95229	ZWINT	0.3515	2e-4	0.6398	0	Up/Up
P42285	MTREX	-0.49370000000000003	2e-4	-0.3353	0.0287	Down/Down
Q9BV44	THUMPD3	-0.4377	2e-4	-0.7752	0	Down/Down
Q969X1	TMBIM1	0.8638	2e-4	-0.2305	1e-4	Down transcriptome/Up proteome
O60287	URB1	-0.9212	2e-4	0.7097	0	Up transcriptome/Down proteome
O95613	PCNT	-1.0148	2e-4	0.6679	0	Up transcriptome/Down proteome
Q96FZ5	CMTM7	1.3349	2e-4	1.1351	0	Up/Up
O60664	PLIN3	0.4104	2e-4	-0.4204	0	Down transcriptome/Up proteome
Q6PL18	ATAD2	-0.8137	2e-4	0.6774	0	Up transcriptome/Down proteome
Q8WUX9	CHMP7	0.6959	2e-4	0.5976	2e-4	Up/Up
Q14157	UBAP2L	-0.35	2e-4	0.2939	1e-4	Up transcriptome/Down proteome
Q8NBS3	SLC4A11	0.9122	2e-4	2.0089	0.0011	Up/Up
Q12955	ANK3	-0.4885	2e-4	-1.3454	0	Down/Down
Q9H9H4	VPS37B	-1.574	2e-4	-0.5468	0	Down/Down
Q8TF05	PPP4R1	-0.3402	3e-4	0.262	0.0212	Up transcriptome/Down proteome
P62249	RPS16	-0.3674	3e-4	-0.778	0	Down/Down
O43395	PRPF3	-0.4768	3e-4	0.5664	0	Up transcriptome/Down proteome
P31939	ATIC	0.2839	3e-4	0.234	0.0116	Up/Up
P85298	ARHGAP8	0.5835	3e-4	-0.5231	0	Down transcriptome/Up proteome
P50995	ANXA11	0.3615	3e-4	0.2473	1e-4	Up/Up
Q7L2E3	DHX30	-0.4239	3e-4	0.1645	0.0243	Up transcriptome/Down proteome
Q04726	TLE3	-0.9194	3e-4	0.3586	0.0235	Up transcriptome/Down proteome
Q6NZI2	CAVIN1	0.92490000000000006	3e-4	2.3565	0	Up/Up
Q9BXS6	NUSAP1	-0.7123	3e-4	-0.4883	0	Down/Down
Q9BZF1	OSBPL8	-1.3039	3e-4	-0.5764	0.0046	Down/Down
Q6IBS0	TWF2	0.3789	3e-4	0.5559	0	Up/Up
Q9H4L5	OSBPL3	1.1785	3e-4	0.9113	0	Up/Up
Q9NPJ3	ACOT13	0.523	3e-4	-0.6008	2e-4	Down transcriptome/Up proteome
Q7Z406	MYH14	-0.4554	3e-4	-0.4155	0	Down/Down
Q08431	MFGE8	0.6967	3e-4	0.6631	0	Up/Up
P61812	TGFB2	-1.7038	3e-4	-1.6518	0	Down/Down
P38646	HSPA9	-0.3512	3e-4	-0.6616	0	Down/Down
Q96BH1	RNF25	-0.8331	3e-4	0.6624	0	Up transcriptome/Down proteome
O43592	XPOT	-0.578	3e-4	-1.2595	0	Down/Down
P52594	AGFG1	0.3752	3e-4	0.6854	0	Up/Up
Q8N9N8	EIF1AD	-0.6539	3e-4	1.2702	0	Up transcriptome/Down proteome
Q5VV43	KIAA0319	-0.8326	3e-4	-2.1765	0.0015	Down/Down
Q96AQ6	PBXIP1	-0.4863	3e-4	-1.0301	0	Down/Down
Q01518	CAP1	0.3221	3e-4	0.2066	0.0167	Up/Up
Q96GD4	AURKB	-0.9939	3e-4	0.4248	1e-4	Up transcriptome/Down proteome
Q8N584	TTC39C	0.7755	3e-4	-0.3123	0.0048	Down transcriptome/Up proteome
Q9ULF5	SLC39A10	0.9288	3e-4	0.923	0	Up/Up
O75306	NDUFS2	-0.44	3e-4	-0.2675	0.0048	Down/Down
Q8WXE9	STON2	-0.7052	3e-4	-1.5716	0	Down/Down
P11142	HSPA8	-0.279	3e-4	0.9214	0	Up transcriptome/Down proteome
Q8IWZ3	ANKHD1	-0.6042	3e-4	-0.2858	0.0064	Down/Down
O15264	MAPK13	0.8462	3e-4	0.9324	1e-4	Up/Up
Q16595	FXN	-0.5965	3e-4	-0.3829	0.0301	Down/Down
Q5VZ89	DENND4C	0.4963	3e-4	-0.4037	0.0013	Down transcriptome/Up proteome
Q9NZ52	GGA3	0.7975	3e-4	0.5964	0	Up/Up
Q9BZJ0	CRNKL1	-0.5588	3e-4	-0.596	0	Down/Down
Q9H1E3	NUCKS1	0.5313	3e-4	-0.9264	0	Down transcriptome/Up proteome
Q15599	SLC9A3R2	0.7445	3e-4	0.4186	0	Up/Up
Q3T8J9	GON4L	-0.7574	3e-4	-0.45	0	Down/Down
Q9BY41	HDAC8	2.8877	3e-4	-0.4643	0.0244	Down transcriptome/Up proteome
Q8WZ82	OVCA2	0.7452	3e-4	0.4131	0.0015	Up/Up
Q13426	XRCC4	-0.5153	3e-4	-0.6427	1e-4	Down/Down
Q13751	LAMB3	1.0605	3e-4	2.6777	0	Up/Up
Q8NBP0	TTC13	-2.4474	3e-4	-0.7206	1e-4	Down/Down
Q9HCU5	PREB	0.5918	3e-4	0.4927	0	Up/Up
O75911	DHRS3	2.2648	3e-4	-1.0455	0.0081	Down transcriptome/Up proteome
O94979	SEC31A	-0.338	3e-4	-0.2834	0.0046	Down/Down
Q9UQB8	BAIAP2	-0.3075	3e-4	0.3682	1e-4	Up transcriptome/Down proteome
O43657	TSPAN6	-0.896	3e-4	-0.6602	0	Down/Down
P52564	MAP2K6	-0.9253	3e-4	-2.7035	0	Down/Down
Q7Z699	SPRED1	1.6105	3e-4	0.4327	0.0334	Up/Up
Q9Y5L4	TIMM13	0.5381	3e-4	0.3495	0.0075	Up/Up
A5PLL7	PEDS1	0.6578	3e-4	0.6217	0	Up/Up
Q96FZ2	HMCES	0.4565	3e-4	0.4682	0	Up/Up
Q9BPZ3	PAIP2	-0.7091	3e-4	-0.6284	0	Down/Down
Q9P0L0	VAPA	0.3511	4e-4	0.1845	0.0147	Up/Up
Q9UGT4	SUSD2	0.8694	4e-4	0.932	0	Up/Up
O15145	ARPC3	0.2717	4e-4	-0.7702	0	Down transcriptome/Up proteome
P55060	CSE1L	-0.2635	4e-4	0.2781	0	Up transcriptome/Down proteome
Q9UJX4	ANAPC5	-0.7095	4e-4	-0.4514	0	Down/Down
Q9BXB4	OSBPL11	0.3635	4e-4	-0.4278	0	Down transcriptome/Up proteome
Q7Z3U7	MON2	-0.4511	4e-4	-0.6699	0	Down/Down
P27708	CAD	0.3618	4e-4	0.8244	0	Up/Up
O00139	KIF2A	-0.6163	4e-4	-0.5861	0	Down/Down
Q15424	SAFB	-0.5058	4e-4	0.2908	0.0234	Up transcriptome/Down proteome
P10253	GAA	0.6643	4e-4	0.7786	0	Up/Up
Q8TB45	DEPTOR	1.092	4e-4	-0.9223	0	Down transcriptome/Up proteome
Q9UIL1	SCOC	-1.0831	4e-4	-0.4847	0.0093	Down/Down
Q9H7P9	PLEKHG2	-3.0489	4e-4	-0.3133	7e-4	Down/Down
Q92466	DDB2	0.9734	4e-4	0.6393	0	Up/Up
Q8NFJ5	GPRC5A	1.4954	4e-4	1.7877	0	Up/Up
Q96IX5	ATP5MK	0.3774	4e-4	-0.5649	0	Down transcriptome/Up proteome
Q96HA7	TONSL	-1.8132	4e-4	0.8401	0	Up transcriptome/Down proteome
P52943	CRIP2	0.6332	4e-4	0.2979	0	Up/Up
Q8TF72	SHROOM3	-0.7849	4e-4	-1.1176	0	Down/Down
P13611	VCAN	-2.7603	4e-4	-1.9711	0	Down/Down
O75717	WDHD1	-0.3496	4e-4	0.4389	4e-4	Up transcriptome/Down proteome
P51530	DNA2	-0.9158	4e-4	0.4677	0.048	Up transcriptome/Down proteome
P15311	EZR	0.2699	4e-4	1.2923	0	Up/Up
Q9UBX3	SLC25A10	0.5162	4e-4	0.443	0	Up/Up
Q14320	FAM50A	-0.3463	4e-4	0.3012	0.0097	Up transcriptome/Down proteome
Q9ULQ1	TPCN1	-1.3631	4e-4	-0.9268	0	Down/Down
Q8IYS1	PM20D2	1.044	4e-4	0.239	0.0456	Up/Up
Q9BXW9	FANCD2	-0.9609	4e-4	0.4206	0.0067	Up transcriptome/Down proteome
Q15257	PTPA	-0.4739	4e-4	-0.4793	1e-4	Down/Down
Q96EU6	RRP36	-0.8329	4e-4	0.4114	0	Up transcriptome/Down proteome
Q08495	DMTN	0.8585	4e-4	0.901	0	Up/Up
Q96R06	SPAG5	-0.5929	4e-4	-0.4606	0	Down/Down
Q9HBM0	VEZT	-0.7547	4e-4	-0.7362	0	Down/Down
P03973	SLPI	0.6863	4e-4	0.5808	0	Up/Up
Q6ZRV2	FAM83H	0.8175	4e-4	1.1318	0	Up/Up
Q3ZCQ8	TIMM50	-0.4449	4e-4	-0.2932	1e-4	Down/Down
Q14956	GPNMB	-0.8092	4e-4	-0.6606	0	Down/Down
Q16763	UBE2S	-0.944	4e-4	0.3399	0.0133	Up transcriptome/Down proteome
P62995	TRA2B	-0.4539	4e-4	0.2546	0.0074	Up transcriptome/Down proteome
Q9BXI6	TBC1D10A	0.6303	4e-4	0.2771	0.0236	Up/Up
Q16270	IGFBP7	-1.0734	5e-4	-2.2847	0	Down/Down
O43172	PRPF4	-0.4441	5e-4	0.1896	0.0145	Up transcriptome/Down proteome
Q9Y657	SPIN1	-1.495	5e-4	-0.893	0	Down/Down
O95786	DDX58	0.6843	5e-4	-0.7169	0	Down transcriptome/Up proteome
Q9Y5X1	SNX9	0.7871	5e-4	0.6633	0	Up/Up
O76054	SEC14L2	0.5386	5e-4	0.7482	0.0012	Up/Up
P00352	ALDH1A1	-0.4096	5e-4	-1.2608	0	Down/Down
P47897	QARS1	0.3086	5e-4	-0.2914	0	Down transcriptome/Up proteome
O95478	NSA2	-0.8305	5e-4	-1.0509	0	Down/Down
Q15742	NAB2	-1.3024	5e-4	-0.8013	0	Down/Down
P62140	PPP1CB	-0.401	5e-4	0.1725	0.0233	Up transcriptome/Down proteome
O95848	NUDT14	0.7453	5e-4	-0.2617	0.0074	Down transcriptome/Up proteome
P10301	RRAS	0.5175	5e-4	0.9772	0	Up/Up
P63027	VAMP2	0.5256	5e-4	-0.5711	3e-4	Down transcriptome/Up proteome
Q92696	RABGGTA	0.6857	5e-4	0.6263	0	Up/Up
Q9BQG2	NUDT12	-0.933	5e-4	-1.0119	0	Down/Down
Q05BQ5	MBTD1	-1.1648	5e-4	-1.2861	0	Down/Down
Q08357	SLC20A2	0.601	5e-4	1.1188	0	Up/Up
Q9Y520	PRRC2C	-0.4734	5e-4	0.3064	0.005	Up transcriptome/Down proteome
P09960	LTA4H	-0.3266	5e-4	-1.1628	0	Down/Down
Q96SI9	STRBP	-0.4962	5e-4	-0.9837	0	Down/Down
Q9NRX1	PNO1	-0.63	5e-4	0.6254	1e-4	Up transcriptome/Down proteome
Q9UEY8	ADD3	-0.669	5e-4	-1.1865	0	Down/Down
P48426	PIP4K2A	2.5115	5e-4	1.0588	0	Up/Up
Q14C86	GAPVD1	-0.3132	5e-4	-0.5245	0	Down/Down
Q9P107	GMIP	1.3876	5e-4	0.627	0	Up/Up
P51970	NDUFA8	-0.4813	5e-4	-1.081	0	Down/Down
P21980	TGM2	0.5358	5e-4	0.8227	0	Up/Up
Q86WK9	PAQR7	0.8088	5e-4	0.6195	0	Up/Up
P48163	ME1	-0.5637	5e-4	-0.3737	0.0027	Down/Down
P14625	HSP90B1	-0.2483	5e-4	-0.834	0	Down/Down
O95832	CLDN1	1.0908	5e-4	2.1156	0	Up/Up
P52803	EFNA5	-0.9192	5e-4	0.3267	0.0166	Up transcriptome/Down proteome
Q15833	STXBP2	0.32	5e-4	0.317	3e-4	Up/Up
Q12933	TRAF2	-0.5343	5e-4	0.6981	0	Up transcriptome/Down proteome
O60911	CTSV	0.7551	5e-4	1.3904	0	Up/Up
Q04917	YWHAH	0.3633	5e-4	0.8332	0	Up/Up
Q49AG3	ZBED5	-0.9186	5e-4	-0.6296	0	Down/Down
Q14746	COG2	-0.6089	5e-4	-0.4607	0	Down/Down
O94964	SOGA1	0.6466	6e-4	0.2634	0.0023	Up/Up
Q14517	FAT1	-0.6567	6e-4	1.1741	0	Up transcriptome/Down proteome
Q8TEA8	DTD1	-0.7229	6e-4	-0.7585	0	Down/Down
Q9BVM2	DPCD	0.4477	6e-4	0.3398	0.0024	Up/Up
P08238	HSP90AB1	0.1953	6e-4	0.6252	0	Up/Up
Q9BXK5	BCL2L13	0.8858	6e-4	0.3738	0	Up/Up
Q9UJU6	DBNL	0.4031	6e-4	0.992	0	Up/Up
Q9NQC3	RTN4	0.2785	6e-4	0.7608	0	Up/Up
Q96EA4	SPDL1	-1.2961	6e-4	-0.65	0	Down/Down
Q8N806	UBR7	-0.6403	6e-4	0.3788	1e-4	Up transcriptome/Down proteome
P49257	LMAN1	0.2992	6e-4	-0.5994	0	Down transcriptome/Up proteome
Q9Y5V0	ZNF706	-0.7904	6e-4	-0.299	0.0478	Down/Down
P27144	AK4	0.773	6e-4	1.0616	0	Up/Up
Q9UPU5	USP24	0.4356	6e-4	0.6378	0.004	Up/Up
Q14249	ENDOG	-0.8974	6e-4	-0.6213	1e-4	Down/Down
Q9C0D3	ZYG11B	-0.6328	6e-4	-0.5769	0	Down/Down
Q9H8M9	EVA1A	0.7736	6e-4	1.0667	0	Up/Up
Q9NZL9	MAT2B	-0.2788	6e-4	-0.4604	0	Down/Down
Q6YN16	HSDL2	-0.5441	6e-4	-0.8944	0	Down/Down
Q9UBS8	RNF14	-0.8566	6e-4	-0.6008	0	Down/Down
O00483	NDUFA4	-0.6509	6e-4	-0.6952	0	Down/Down
Q6NS38	ALKBH2	-1.0774	6e-4	-0.5029	9e-4	Down/Down
P49327	FASN	-0.2743	6e-4	0.7105	0	Up transcriptome/Down proteome
Q15545	TAF7	-0.9807	6e-4	-0.9392	0	Down/Down
P42771	CDKN2A	-0.5042	6e-4	0.5352	0	Up transcriptome/Down proteome
